classifier	score
LogisticRegression	0.9701401140541533
LogisticRegression	0.9714229510570549
LogisticRegression	0.9772352213159365
LogisticRegression	0.9687357835021916
LogisticRegression	0.9723592808555725
KNeighbors	0.8710246059265007
KNeighbors	0.8120709463049863
KNeighbors	0.892535340069111
KNeighbors	0.876301773168332
KNeighbors	0.8774748309657403
DecisionTree	0.8889657352493847
DecisionTree	0.8823196221140142
DecisionTree	0.8787602952899153
DecisionTree	0.8844901009845286
DecisionTree	0.8749564607918554
RandomForest	0.980119892038228
RandomForest	0.9799849414893919
RandomForest	0.9893352045063474
RandomForest	0.9646587883920782
RandomForest	0.9785602976653073
MLP	0.9667494174993099
MLP	0.9688248054454779
MLP	0.9696461716935051
MLP	0.9603460862004178
MLP	0.9679084881672342
