rhea_id	PC1	PC2	cluster	class	class_label
10001	-0.9979413882612973	-0.683277982540829	1	3	Hydrolases
10002	-0.9979413882612983	-0.6832779825409474	1	3	Hydrolases
10005	-1.0403471214158155	-0.4943082218530635	1	5	Isomerases
10006	-1.0403471214158153	-0.49430822185306356	1	5	Isomerases
10009	-1.2952393478793018	-0.844976536417542	1	Unknown	
10010	-1.2952393478793018	-0.844976536417542	1	Unknown	
10013	-1.0051019717473486	-0.44947452909889757	1	1	Oxidoreductases
10014	-1.0051019717473486	-0.44947452909889757	1	1	Oxidoreductases
10017	-1.2680829486917966	-0.3502867861922853	1	3	Hydrolases
10018	-1.2680829486917966	-0.3502867861922853	1	3	Hydrolases
10021	6.95992171820664	0.1487148866818259	0	1	Oxidoreductases
10022	6.95992171820664	0.1487148866818259	0	1	Oxidoreductases
10025	-1.01861305201566	-0.7774814922422268	3	Unknown	
10026	-1.01861305201566	-0.7774814922422268	3	Unknown	
10029	-0.8632969759381368	-0.646923301425383	1	1	Oxidoreductases
10030	-0.8632969759381368	-0.646923301425383	1	1	Oxidoreductases
10033	-0.9628488604442725	-0.7060166194726942	1	3	Hydrolases
10034	-0.9628488604442725	-0.7060166194726942	1	3	Hydrolases
10037	-1.2722312238589972	-0.6160965076422376	1	1	Oxidoreductases
10038	-1.2722312238589972	-0.6160965076422376	1	1	Oxidoreductases
10041	-1.2764238158607013	-0.789056092755406	1	3	Hydrolases
10042	-1.2764238158607013	-0.789056092755406	1	3	Hydrolases
10045	6.992971513543943	0.0488539470592704	0	1	Oxidoreductases
10046	6.992971513543943	0.0488539470592704	0	1	Oxidoreductases
10049	-1.2737061032546857	-0.8446263158881718	1	2	Transferases
10050	-1.2737061032546857	-0.8446263158881718	1	2	Transferases
10053	6.988605155079913	0.07189137239731697	0	1	Oxidoreductases
10054	6.988605155079913	0.07189137239731697	0	1	Oxidoreductases
10057	-0.9125920548578734	-0.458226615806552	1	4	Lyases
10058	-0.9125920548578734	-0.458226615806552	1	4	Lyases
10061	-1.1099780868401319	-0.6079757924493333	4	2	Transferases
10062	-1.1099780868401319	-0.6079757924493333	4	2	Transferases
10065	-0.9293798205887602	-0.7172377877624074	1	2	Transferases
10066	-0.9293798205887602	-0.7172377877624074	1	2	Transferases
10069	-1.0801612739110964	-0.7964631667406576	2	2	Transferases
10070	-1.0801612739110964	-0.7964631667406576	2	2	Transferases
10073	-1.2200317877253226	-0.8914009287429111	3	2	Transferases
10074	-1.2200317877253226	-0.8914009287429111	3	2	Transferases
10077	-1.2664678444306248	-0.7207989244682151	1	3	Hydrolases
10078	-1.2664678444306248	-0.7207989244682151	1	3	Hydrolases
10081	6.7768009035038	0.0044164745591875635	0	1	Oxidoreductases
10082	6.7768009035038	0.0044164745591875635	0	1	Oxidoreductases
10085	-0.5494301771137629	-0.4931044210115369	1	1	Oxidoreductases
10086	-0.5494301771137629	-0.4931044210115369	1	1	Oxidoreductases
10089	-1.1430102421965855	-0.8295070255629512	2	2	Transferases
10090	-1.1430102421965855	-0.8295070255629512	2	2	Transferases
10093	-1.329715765979645	-0.6277488667484222	1	3	Hydrolases
10094	-1.329715765979645	-0.6277488667484222	1	3	Hydrolases
10097	-1.1651644551214886	-0.469151581613596	3	2	Transferases
10098	-1.1651644551214886	-0.469151581613596	3	2	Transferases
10101	-1.2377656678396278	-0.5292053790041629	1	3	Hydrolases
10102	-1.2377656678396278	-0.5292053790041629	1	3	Hydrolases
10105	-0.7410364064144905	-0.6087346277306472	1	1	Oxidoreductases
10106	-0.7410364064144905	-0.6087346277306472	1	1	Oxidoreductases
10109	6.631231228387665	0.037297572821126876	0	1	Oxidoreductases
10110	6.631231228387665	0.037297572821126876	0	1	Oxidoreductases
10113	-1.2482651761799384	-0.9331551236080287	1	4	Lyases
10114	-1.2482651761799384	-0.9331551236080287	1	4	Lyases
10117	6.968614449565508	0.095867520823076	0	1	Oxidoreductases
10118	6.968614449565508	0.095867520823076	0	1	Oxidoreductases
10121	-0.19008996572375314	0.527529425402843	1	3	Hydrolases
10122	-0.19008996572375314	0.527529425402843	1	3	Hydrolases
10125	6.69077021232621	0.1003948632342935	0	1	Oxidoreductases
10126	6.69077021232621	0.1003948632342935	0	1	Oxidoreductases
10129	-1.1574331504810473	-0.5781058763549111	1	5	Isomerases
10130	-1.1574331504810473	-0.5781058763549111	1	5	Isomerases
10133	-1.4267520647400598	-0.7227532816294678	5	6	Ligases
10134	-1.4267520647400598	-0.7227532816294678	5	6	Ligases
10137	-1.229543260899062	-0.5296322981130306	1	4	Lyases
10138	-1.229543260899062	-0.5296322981130306	1	4	Lyases
10141	6.88768019383818	0.15580634414627836	0	1	Oxidoreductases
10142	6.88768019383818	0.15580634414627836	0	1	Oxidoreductases
10145	-1.2426338827222851	-0.5186260759634487	1	3	Hydrolases
10146	-1.2426338827222851	-0.5186260759634487	1	3	Hydrolases
10149	-0.9101325079392281	0.19400325361040757	1	3	Hydrolases
10150	-0.9101325079392281	0.19400325361040757	1	3	Hydrolases
10153	-1.1888025905222004	-0.7101701162628595	1	2	Transferases
10154	-1.1888025905222004	-0.7101701162628595	1	2	Transferases
10157	-1.5922341509079103	8.530110520841879	6	1	Oxidoreductases
10158	-1.5922341509079103	8.530110520841879	6	1	Oxidoreductases
10161	7.043517152554396	-0.056193911821986735	0	1	Oxidoreductases
10162	7.043517152554396	-0.056193911821986735	0	1	Oxidoreductases
10165	-1.160183477198836	-0.6773911773874358	1	4	Lyases
10166	-1.160183477198836	-0.6773911773874358	1	4	Lyases
