rhea_id	PC1	PC2	cluster	class	class_label
10001	-0.9631517960512334	-0.6667901580920459	6	3	Hydrolases
10002	-0.9631517960511682	-0.6667901580921466	6	3	Hydrolases
10005	-1.0083721518819984	-0.48135285835551983	6	5	Isomerases
10006	-1.0083721518819984	-0.48135285835551994	6	5	Isomerases
10009	-1.263827274490413	-0.8318725126712777	6	Unknown	
10010	-1.263827274490413	-0.8318725126712777	6	Unknown	
10013	-0.971150336295193	-0.43657719785516047	6	1	Oxidoreductases
10014	-0.971150336295193	-0.43657719785516047	6	1	Oxidoreductases
10017	-1.2327620599024844	-0.33440942776814975	6	3	Hydrolases
10018	-1.2327620599024844	-0.33440942776814975	6	3	Hydrolases
10021	6.994631905309414	0.14181150010828628	1	1	Oxidoreductases
10022	6.994631905309414	0.14181150010828628	1	1	Oxidoreductases
10025	-0.9967285693582386	-0.7873021160711611	2	Unknown	
10026	-0.9967285693582386	-0.7873021160711611	2	Unknown	
10029	-0.8301829290613115	-0.6307584065615319	6	1	Oxidoreductases
10030	-0.8301829290613115	-0.6307584065615319	6	1	Oxidoreductases
10033	-0.9302799378910096	-0.6935091929196434	6	3	Hydrolases
10034	-0.9302799378910096	-0.6935091929196434	6	3	Hydrolases
10037	-1.2408031144738585	-0.6024852800783421	6	1	Oxidoreductases
10038	-1.2408031144738585	-0.6024852800783421	6	1	Oxidoreductases
10041	-1.2459207546243487	-0.7776694777209099	6	3	Hydrolases
10042	-1.2459207546243487	-0.7776694777209099	6	3	Hydrolases
10045	7.026607820986059	0.04127288381728727	1	1	Oxidoreductases
10046	7.026607820986059	0.04127288381728727	1	1	Oxidoreductases
10049	-1.2427733385302298	-0.8313339541602326	6	2	Transferases
10050	-1.2427733385302298	-0.8313339541602326	6	2	Transferases
10053	7.022789233606444	0.06443706430469828	1	1	Oxidoreductases
10054	7.022789233606444	0.06443706430469828	1	1	Oxidoreductases
10057	-0.8796871564504605	-0.4469827389503255	6	4	Lyases
10058	-0.8796871564504605	-0.4469827389503255	6	4	Lyases
10061	-1.0733844173353284	-0.58989718945778	0	2	Transferases
10062	-1.0733844173353284	-0.58989718945778	0	2	Transferases
10065	-0.8969071533700829	-0.7044276041524918	6	2	Transferases
10066	-0.8969071533700829	-0.7044276041524918	6	2	Transferases
10069	-1.0442011914146616	-0.7784267120057884	6	2	Transferases
10070	-1.0442011914146616	-0.7784267120057884	6	2	Transferases
10073	-1.1996172800008766	-0.9010251618709215	2	2	Transferases
10074	-1.1996172800008766	-0.9010251618709215	2	2	Transferases
10077	-1.2350240622809923	-0.7075886015596372	6	3	Hydrolases
10078	-1.2350240622809923	-0.7075886015596372	6	3	Hydrolases
10081	6.810557769776882	-0.0029117341232462964	1	1	Oxidoreductases
10082	6.810557769776882	-0.0029117341232462964	1	1	Oxidoreductases
10085	-0.516211985629651	-0.47873177627852936	6	1	Oxidoreductases
10086	-0.516211985629651	-0.47873177627852936	6	1	Oxidoreductases
10089	-1.1071432953417204	-0.8113026857711739	6	2	Transferases
10090	-1.1071432953417204	-0.8113026857711739	6	2	Transferases
10093	-1.29733330918968	-0.613548203742895	6	3	Hydrolases
10094	-1.29733330918968	-0.613548203742895	6	3	Hydrolases
10097	-1.1359258556457972	-0.46393781857281213	2	2	Transferases
10098	-1.1359258556457972	-0.46393781857281213	2	2	Transferases
10101	-1.2048352934875015	-0.5147366088049043	6	3	Hydrolases
10102	-1.2048352934875015	-0.5147366088049043	6	3	Hydrolases
10105	-0.7075785537860719	-0.5937699060138266	6	1	Oxidoreductases
10106	-0.7075785537860719	-0.5937699060138266	6	1	Oxidoreductases
