rhea_id	PC1	PC2	cluster
55933	-1.45349896741952	-0.6068713690242736	3
13966	-1.2029616807649481	-0.9950957830594521	6
43189	-1.2651755665451292	-0.725809817944533	5
42297	-1.3171792333331636	-0.20631046073124837	4
34301	-1.1458633623377485	-0.5806710391019515	6
20374	-1.594555637917134	-0.9195977335038926	4
66321	-1.5454518403185957	0.4290686850375912	6
37608	-1.3748992078418283	-0.8982501016160794	4
28728	-1.2091307384443395	-0.7511966996211893	6
40480	-1.3651352906743544	-0.7794954892621148	0
29436	-0.6576184234795857	-0.23477582644877898	6
60750	-1.090619071146513	-0.811060430535066	4
39625	6.706524684493163	0.22225234198425578	1
41946	-1.319296069144866	-0.8973988353557544	3
50693	-1.2612155118936352	-0.8373725508541169	3
36516	-1.2550300408673793	-0.7842184197146409	4
47489	6.978888565642841	0.07412061600392648	1
48962	-1.014890860960704	-0.5010146961296214	6
30601	-1.2641086091661708	-0.810193129339631	6
57842	-1.3086915378324835	-0.8600272828014989	6
46797	-1.2122397836958754	-0.6746029484507077	6
11817	-0.9241071323607007	-0.8053241855714267	6
43837	6.78150166083497	0.1353629207764986	1
62621	-1.3220131819536416	-0.8913392519880794	6
33308	-1.1170571205896214	-0.3979482720997282	6
54393	-1.372011132265119	-0.8587425646970657	0
32016	-1.3479816249913643	-0.6405113193617568	6
22205	6.6148204997452495	0.11933131777749287	1
64250	-1.2545163530288737	-0.38209074778373314	4
34473	6.770349509587597	0.06582782892155928	1
44194	-1.4218791394430845	-0.7513033243372941	4
21718	-0.4057625579910034	0.7821718663557531	6
39157	-0.9588755597415249	-0.6539140438306967	6
19287	-1.4698662990572415	-0.327691163771126	0
36264	-1.2376558886727675	-0.7840307767791206	6
29344	-1.3865921638000034	-0.7373071198878369	0
60022	-1.4257629789146653	-0.7232161383192632	6
56590	-1.1903692421598164	-0.7252255515518286	6
66453	6.821187434068545	-0.0023076281748849346	1
38249	-1.256716650904369	-0.9017472316733773	4
20406	-1.1136469969419138	-0.6158732167316009	6
18199	-1.1243653585860152	-0.677100907586845	6
30173	-1.281610191923283	-0.8316012218466278	4
18827	-1.0427231745962247	-0.7311400136118774	6
22577	-1.3570952799651745	-0.5383819525186767	0
25218	-1.1658718745156749	-0.5617921870989484	4
32764	-1.0083911209997147	-0.5143942835238723	6
62153	-1.4318624891403389	-0.846168527449297	3
24106	-1.303045745021261	-0.6048494667719614	6
52090	-1.621096846650062	-0.9477856205748731	4
23669	-1.4693706807289613	-0.2772902210971997	3
