rhea_id	PC1	PC2	cluster	class	class_label
10001	-0.9700685670838016	-0.6595032502343474	1	3	Hydrolases
10002	-0.9700685670838364	-0.6595032502343335	1	3	Hydrolases
10005	-1.0135744701667315	-0.47488325577597645	1	5	Isomerases
10006	-1.0135744701667315	-0.47488325577597645	1	5	Isomerases
10009	-1.2696948780646258	-0.8231674896368125	1	Unknown	
10010	-1.2696948780646258	-0.8231674896368125	1	Unknown	
10013	-0.9763307947032686	-0.4282703606839645	1	1	Oxidoreductases
10014	-0.9763307947032686	-0.4282703606839645	1	1	Oxidoreductases
10017	-1.2386443291627753	-0.326215169535778	1	3	Hydrolases
10018	-1.2386443291627753	-0.326215169535778	1	3	Hydrolases
10021	6.990528491304072	0.1294696891226736	2	1	Oxidoreductases
10022	6.990528491304072	0.1294696891226736	2	1	Oxidoreductases
10025	-1.0048553902194943	-0.7865528902689896	6	Unknown	
10026	-1.0048553902194943	-0.7865528902689896	6	Unknown	
10029	-0.8353226275773777	-0.6230942872531378	1	1	Oxidoreductases
10030	-0.8353226275773777	-0.6230942872531378	1	1	Oxidoreductases
10033	-0.936615234794626	-0.6848639122969343	1	3	Hydrolases
10034	-0.936615234794626	-0.6848639122969343	1	3	Hydrolases
10037	-1.246288840210118	-0.5952887059686708	1	1	Oxidoreductases
10038	-1.246288840210118	-0.5952887059686708	1	1	Oxidoreductases
10041	-1.2519923878394168	-0.7683606167319017	1	3	Hydrolases
10042	-1.2519923878394168	-0.7683606167319017	1	3	Hydrolases
10045	7.0226060551588425	0.03008426157332177	2	1	Oxidoreductases
10046	7.0226060551588425	0.03008426157332177	2	1	Oxidoreductases
10049	-1.2493187058949429	-0.8267736049438805	1	2	Transferases
10050	-1.2493187058949429	-0.8267736049438805	1	2	Transferases
10053	7.018807496143179	0.053349654442152804	2	1	Oxidoreductases
10054	7.018807496143179	0.053349654442152804	2	1	Oxidoreductases
10057	-0.8851020371353017	-0.4381900486363871	1	4	Lyases
10058	-0.8851020371353017	-0.4381900486363871	1	4	Lyases
10061	-1.0790306957847957	-0.5822525198079113	4	2	Transferases
10062	-1.0790306957847957	-0.5822525198079113	4	2	Transferases
10065	-0.9028551812066753	-0.6973310423602334	1	2	Transferases
10066	-0.9028551812066753	-0.6973310423602334	1	2	Transferases
10069	-1.0517098300239665	-0.7732444916129897	5	2	Transferases
10070	-1.0517098300239665	-0.7732444916129897	5	2	Transferases
10073	-1.2077379770550036	-0.8999721982646866	6	2	Transferases
10074	-1.2077379770550036	-0.8999721982646866	6	2	Transferases
10077	-1.2410775202376108	-0.7000387782921837	1	3	Hydrolases
10078	-1.2410775202376108	-0.7000387782921837	1	3	Hydrolases
10081	6.806390328774969	-0.012843286998984958	2	1	Oxidoreductases
10082	6.806390328774969	-0.012843286998984958	2	1	Oxidoreductases
10085	-0.522237775608728	-0.4723486233713466	1	1	Oxidoreductases
10086	-0.522237775608728	-0.4723486233713466	1	1	Oxidoreductases
10089	-1.1148625863997592	-0.8060482702673114	5	2	Transferases
10090	-1.1148625863997592	-0.8060482702673114	5	2	Transferases
10093	-1.3030237458655411	-0.6049375139664411	1	3	Hydrolases
10094	-1.3030237458655411	-0.6049375139664411	1	3	Hydrolases
10097	-1.143417682249958	-0.4637874880080977	6	2	Transferases
10098	-1.143417682249958	-0.4637874880080977	6	2	Transferases
10101	-1.2098829613122037	-0.5066806496108587	1	3	Hydrolases
10102	-1.2098829613122037	-0.5066806496108587	1	3	Hydrolases
10105	-0.7123668469448595	-0.5859082047988234	1	1	Oxidoreductases
10106	-0.7123668469448595	-0.5859082047988234	1	1	Oxidoreductases
10109	6.661610056021428	0.019563137936774933	2	1	Oxidoreductases
10110	6.661610056021428	0.019563137936774933	2	1	Oxidoreductases
10113	-1.2239957175381615	-0.9147379672552333	1	4	Lyases
