rhea_id	PC1	PC2	cluster	class
10001	-1.0454155648693215	-0.7416953238497772	4	3
10002	-1.0454155648692895	-0.7416953238498037	4	3
10005	-1.0620773539082036	-0.5261064184597855	4	5
10006	-1.0620773539082036	-0.5261064184597855	4	5
10009	-1.3088256279141437	-0.8870091886695027	4	Unknown
10010	-1.3088256279141437	-0.8870091886695027	4	Unknown
10013	-1.042565418275969	-0.5027413509344373	4	1
10014	-1.042565418275969	-0.5027413509344373	4	1
10017	-1.3143934579445717	-0.41185116182823583	4	3
10018	-1.3143934579445717	-0.41185116182823583	4	3
10021	6.908184448044445	0.2515412367490587	2	1
10022	6.908184448044445	0.2515412367490587	2	1
10025	-1.053510711773984	-0.8428894875232684	6	Unknown
10026	-1.053510711773984	-0.8428894875232684	6	Unknown
10029	-1.0126461814341146	-0.6962615934136389	4	1
10030	-1.0126461814341146	-0.6962615934136389	4	1
10033	-0.9870194589960775	-0.7400923385402941	4	3
10034	-0.9870194589960775	-0.7400923385402941	4	3
10037	-1.2910934680843817	-0.6558491514177064	4	1
10038	-1.2910934680843817	-0.6558491514177064	4	1
10041	-1.2945351078883194	-0.8332996278601114	4	3
10042	-1.2945351078883194	-0.8332996278601114	4	3
10045	6.950443618661823	0.15441033932424886	2	1
10046	6.950443618661823	0.15441033932424886	2	1
10049	-1.2990255798476893	-0.9019992203453208	4	2
10050	-1.2990255798476893	-0.9019992203453208	4	2
10053	6.9447594266943655	0.1735067589376035	2	1
10054	6.9447594266943655	0.1735067589376035	2	1
10057	-0.9382607617753702	-0.48627756261743044	4	4
10058	-0.9382607617753702	-0.48627756261743044	4	4
10061	-1.1521984573892656	-0.678271249065679	3	2
10062	-1.1521984573892656	-0.678271249065679	3	2
10065	-0.953982021186789	-0.760089651727515	4	2
10066	-0.953982021186789	-0.760089651727515	4	2
10069	-1.026567782790048	-0.4953775735588649	5	2
10070	-1.026567782790048	-0.4953775735588649	5	2
10073	-1.2510249311208121	-0.9586254942047089	6	2
10074	-1.2510249311208121	-0.9586254942047089	6	2
10077	-1.2764453763609125	-0.8495117891100163	4	3
10078	-1.2764453763609125	-0.8495117891100163	4	3
10081	6.7384471391742995	0.10737508016726344	2	1
10082	6.7384471391742995	0.10737508016726344	2	1
10085	-0.5885839243375119	-0.5196091011461256	4	1
10086	-0.5885839243375119	-0.5196091011461256	4	1
10089	-1.1696082707193116	-0.7317192592134509	5	2
10090	-1.1696082707193116	-0.7317192592134509	5	2
10093	-1.3502097003166667	-0.6725338665123572	4	3
10094	-1.3502097003166667	-0.6725338665123572	4	3
10097	-1.220026041181443	-0.5564354790145903	6	2
10098	-1.220026041181443	-0.5564354790145903	6	2
10101	-1.2741988628739918	-0.582514350374583	4	3
10102	-1.2741988628739918	-0.582514350374583	4	3
10105	-0.9156725855210451	-0.436946346352529	4	1
10106	-0.9156725855210451	-0.436946346352529	4	1
10109	6.588988313650354	0.12803969695828474	2	1
10110	6.588988313650354	0.12803969695828474	2	1
10113	-1.2741822144845074	-0.9914313560254012	4	4
10114	-1.2741822144845074	-0.9914313560254012	4	4
10117	6.907636085906599	0.19004898755961105	2	1
10118	6.907636085906599	0.19004898755961105	2	1
10121	-0.3650462929720853	0.5121768699063488	4	3
10122	-0.3650462929720853	0.5121768699063488	4	3
10125	6.639563617315868	0.1840766553392985	2	1
10126	6.639563617315868	0.1840766553392985	2	1
10129	-1.0515622924864658	-0.6065840452745798	4	5
10130	-1.0515622924864658	-0.6065840452745798	4	5
10133	-1.4788651752551838	-0.8050899192404088	0	6
10134	-1.4788651752551838	-0.8050899192404088	0	6
10137	-1.2576162830874853	-0.5760808738392978	4	4
10138	-1.2576162830874853	-0.5760808738392978	4	4
10141	6.8343502852757725	0.265044305721919	2	1
10142	6.8343502852757725	0.265044305721919	2	1
10145	-1.1649768246410304	-0.4602894825684829	4	3
10146	-1.1649768246410304	-0.4602894825684829	4	3
10149	-0.951209651097711	0.16507854386973614	4	3
10150	-0.951209651097711	0.16507854386973614	4	3
10153	-1.224351424352129	-0.7613656259626065	0	2
10154	-1.224351424352129	-0.7613656259626065	0	2
10157	-1.9126346128431195	8.458276412607816	1	1
10158	-1.9126346128431195	8.458276412607816	1	1
10161	7.006256864547531	0.05317873707852105	2	1
10162	7.006256864547531	0.05317873707852105	2	1
10165	-1.192921665281584	-0.724848567981259	4	4
10166	-1.192921665281584	-0.724848567981259	4	4
10169	-1.2475091921898203	-0.6576814677131554	4	1
10170	-1.2475091921898203	-0.6576814677131554	4	1
10173	-1.1266182826486513	-0.7797481816731645	4	3
10174	-1.1266182826486513	-0.7797481816731645	4	3
10177	6.78298485218314	0.24032137004868298	2	1
10178	6.78298485218314	0.24032137004868298	2	1
10181	6.337105572089621	0.0037178955428061045	2	1
10182	6.337105572089621	0.0037178955428061045	2	1
10185	-0.9668003908966148	-0.7002449632118172	4	3
10186	-0.9668003908966148	-0.7002449632118172	4	3
10189	-1.0269628680777492	-0.5335683942840358	3	2
10190	-1.0269628680777492	-0.5335683942840358	3	2
10193	-1.277020593465487	-0.9565996937469317	0	7
10194	-1.277020593465487	-0.9565996937469317	0	7
10197	-0.6510853450297611	-0.6098042432851116	4	4
10198	-0.6510853450297611	-0.6098042432851116	4	4
10201	6.832546775826087	0.12687568937352692	2	1
10202	6.832546775826087	0.12687568937352692	2	1
10205	-1.8328641846052915	7.683967427573591	1	1
10206	-1.8328641846052915	7.683967427573591	1	1
10209	-0.7074444278219413	-0.4120226506077557	4	2
10210	-0.7074444278219413	-0.4120226506077557	4	2
10213	-1.1151476705762395	-0.5624664964907605	4	2
10214	-1.1151476705762395	-0.5624664964907605	4	2
10217	-1.1339725899229198	-0.9234926890139952	0	2
10218	-1.1339725899229198	-0.9234926890139952	0	2
10221	-1.6048582397054458	-0.43610097609455606	0	6
10222	-1.6048582397054458	-0.43610097609455606	0	6
10225	-1.2324969245160846	-0.45826604011099004	0	2
10226	-1.2324969245160846	-0.45826604011099004	0	2
10229	-0.9679081277698837	-0.6681605453870816	4	Unknown
10230	-0.9679081277698837	-0.6681605453870816	4	Unknown
10233	0.1768710669928805	-0.6333270247180495	4	2
10234	0.1768710669928805	-0.6333270247180495	4	2
10237	-0.9608942907252135	-0.6350704652286843	5	2
10238	-0.9608942907252135	-0.6350704652286843	5	2
10241	6.770334245434178	0.16512518781093435	2	1
10242	6.770334245434178	0.16512518781093435	2	1
10245	-1.0481337358286533	-0.6218618261644029	4	3
10246	-1.0481337358286533	-0.6218618261644029	4	3
10249	-1.6013225662208919	-0.6706861902829966	0	3
10250	-1.6013225662208919	-0.6706861902829966	0	3
10253	-1.3909617859354708	-0.7006985855693243	4	2
10254	-1.3909617859354708	-0.7006985855693243	4	2
10257	-1.4841908598471711	-0.941156216683107	0	2
10258	-1.4841908598471711	-0.941156216683107	0	2
10261	-1.277020593465487	-0.9565996937469317	0	7
10262	-1.277020593465487	-0.9565996937469317	0	7
10265	-1.1599613866375311	-0.717135018896544	4	5
10266	-1.1599613866375311	-0.717135018896544	4	5
10269	-1.1180472557194812	-0.6586090433078989	4	4
10270	-1.1180472557194812	-0.6586090433078989	4	4
10273	-1.3765537380636912	-0.7014051551901143	0	2
10274	-1.3765537380636912	-0.7014051551901143	0	2
