classifier	score
MLP	0.9645745664289417
MLP	0.9678337322360767
MLP	0.9705418144095849
MLP	0.9616231526211392
MLP	0.9647833167261058
DecisionTree	0.8862483946216922
DecisionTree	0.8738621163451195
DecisionTree	0.8826946910144511
DecisionTree	0.8662746520510679
DecisionTree	0.8789542264609106
KNeighbors	0.8807210293930111
KNeighbors	0.8913231732708102
KNeighbors	0.9043112432524383
KNeighbors	0.8835769052288256
KNeighbors	0.8919494859842862
LogisticRegression	0.9698018572314717
LogisticRegression	0.9716001895135926
LogisticRegression	0.9774466515502922
LogisticRegression	0.969084978689669
LogisticRegression	0.9663687690853131
RandomForest	0.9797042152498169
RandomForest	0.9856021644375684
RandomForest	0.9895233719288996
RandomForest	0.9787190974363515
RandomForest	0.9762993613816674
