classifier	score
LogisticRegression	0.9704344318346447
LogisticRegression	0.9704240615194949
LogisticRegression	0.9773821818084235
LogisticRegression	0.969242856682378
LogisticRegression	0.9722604855194376
KNeighbors	0.8792090541497773
KNeighbors	0.8736556872725101
KNeighbors	0.8966007838565287
KNeighbors	0.8702562484225087
KNeighbors	0.8798147612003245
DecisionTree	0.8702799106444072
DecisionTree	0.8760482294985603
DecisionTree	0.8769424810161094
DecisionTree	0.8756140992075209
DecisionTree	0.8679997288247877
RandomForest	0.9844729171733826
RandomForest	0.9788405656994963
RandomForest	0.9894103317294721
RandomForest	0.9595004433745163
RandomForest	0.9794111899957604
MLP	0.9669775499548212
MLP	0.9662057517031292
MLP	0.968558918443078
MLP	0.9612583888595368
MLP	0.9682842037499275
