classifier	score
MLP	0.9628487394395584
MLP	0.967401074105508
MLP	0.9696383561441965
MLP	0.9627668818600936
MLP	0.9682464933337565
DecisionTree	0.8728435133945537
DecisionTree	0.8801257873986478
DecisionTree	0.8887955251341756
DecisionTree	0.868593866564078
DecisionTree	0.8735363649559218
KNeighbors	0.86663830845358
KNeighbors	0.8723961930460619
KNeighbors	0.8951003136048187
KNeighbors	0.8795928667205357
KNeighbors	0.883150831443723
LogisticRegression	0.9690384297331557
LogisticRegression	0.9705710248782609
LogisticRegression	0.9765550904639815
LogisticRegression	0.9693985587559892
LogisticRegression	0.9724168417118867
RandomForest	0.9845751067492703
RandomForest	0.9802472456544796
RandomForest	0.989305269419127
RandomForest	0.9737124384533836
RandomForest	0.9765166031827066
