classifier	score
DecisionTreeClassifier	0.8791463641214002
DecisionTreeClassifier	0.8800043968517203
DecisionTreeClassifier	0.8798777139061001
DecisionTreeClassifier	0.8735536871556374
DecisionTreeClassifier	0.8646426188666207
KNeighborsClassifier	0.8747827265538722
KNeighborsClassifier	0.8914125902256512
KNeighborsClassifier	0.9055123492079609
KNeighborsClassifier	0.8843549475092706
KNeighborsClassifier	0.8839941338212426
LogisticRegression	0.9745022736267882
LogisticRegression	0.9709481839718934
LogisticRegression	0.9775378141797911
LogisticRegression	0.9672781153820716
LogisticRegression	0.9656761218858512
RandomForestClassifier	0.9755694241980589
RandomForestClassifier	0.9811837850120362
RandomForestClassifier	0.9887396538199552
RandomForestClassifier	0.961782809343891
RandomForestClassifier	0.9714254328191271
