classifier	score
MLP	0.965309771712956
MLP	0.9711508773054646
MLP	0.9708410539220524
MLP	0.9615452044948617
MLP	0.9694140156955632
DecisionTree	0.8832082346332779
DecisionTree	0.8807049193361196
DecisionTree	0.8881612637405211
DecisionTree	0.8772052811963077
DecisionTree	0.8784273658918834
KNeighbors	0.8686213772185643
KNeighbors	0.8734331188167751
KNeighbors	0.8984594653232535
KNeighbors	0.8797821455914596
KNeighbors	0.8812361302235898
LogisticRegression	0.9693736119060066
LogisticRegression	0.9725608442713446
LogisticRegression	0.9774139014130983
LogisticRegression	0.9676185453635741
LogisticRegression	0.9729390669023016
RandomForest	0.9830858083315847
RandomForest	0.9798028530743635
RandomForest	0.9894445451939191
RandomForest	0.9737087067603997
RandomForest	0.9802676865551815
