classifier	score
LogisticRegression	0.9701538700924771
LogisticRegression	0.9714201811439995
LogisticRegression	0.9773724516751796
LogisticRegression	0.9687490365284323
LogisticRegression	0.9724273166694521
KNeighbors	0.8821129396773283
KNeighbors	0.8737070292095053
KNeighbors	0.8925815956811485
KNeighbors	0.8737384780911585
KNeighbors	0.8791563581741855
DecisionTree	0.8905189553696597
DecisionTree	0.877317925415988
DecisionTree	0.8797653058941346
DecisionTree	0.8836483133848813
DecisionTree	0.8748965771759115
RandomForest	0.9826204175479862
RandomForest	0.9797575890983898
RandomForest	0.9894477351866131
RandomForest	0.9683992238297412
RandomForest	0.9786015269152077
MLP	0.9663201522967517
MLP	0.9679472725735587
MLP	0.970102368486255
MLP	0.9626595778606923
MLP	0.9663485051975246
