classifier	score
MLP	0.9662581817001696
MLP	0.9688345342639719
MLP	0.9725546551727405
MLP	0.9599583716313387
MLP	0.9655484921932739
DecisionTree	0.8839319737406842
DecisionTree	0.8804345939563045
DecisionTree	0.8828167019768497
DecisionTree	0.8759237339971039
DecisionTree	0.8840291602344356
KNeighbors	0.8824868288327704
KNeighbors	0.8927347439407792
KNeighbors	0.9044293521082479
KNeighbors	0.8902553827059266
KNeighbors	0.8944583305820742
LogisticRegression	0.9698659160008682
LogisticRegression	0.9710805894574664
LogisticRegression	0.9785242363722737
LogisticRegression	0.9695080081081565
LogisticRegression	0.971807368254115
RandomForest	0.9763842730401814
RandomForest	0.9817827939172242
RandomForest	0.9898126439767252
RandomForest	0.9655144060239572
RandomForest	0.9805703145386809
