rhea_id	PC1	PC2	cluster	class	class_label
10001	-0.9836040424230593	-0.7177835490322767	0	3	Hydrolases
10002	-0.9836040424230282	-0.7177835490322991	0	3	Hydrolases
10005	-1.028893235463379	-0.5258696871751862	0	5	Isomerases
10006	-1.028893235463379	-0.5258696871751865	0	5	Isomerases
10009	-1.2758246635196804	-0.8851501364870163	0	Unknown	
10010	-1.2758246635196804	-0.8851501364870163	0	Unknown	
10013	-0.9950731408243961	-0.4839091926139006	0	1	Oxidoreductases
10014	-0.9950731408243961	-0.4839091926139006	0	1	Oxidoreductases
10017	-1.2579589991848408	-0.3907622625476035	0	3	Hydrolases
10018	-1.2579589991848408	-0.3907622625476035	0	3	Hydrolases
10021	6.958745559602467	0.2694727580498738	1	1	Oxidoreductases
10022	6.958745559602467	0.2694727580498738	1	1	Oxidoreductases
10025	-1.001028717846134	-0.8140326386806785	6	Unknown	
10026	-1.001028717846134	-0.8140326386806785	6	Unknown	
10029	-0.9785589472294509	-0.6866644073613379	0	1	Oxidoreductases
10030	-0.9785589472294509	-0.6866644073613379	0	1	Oxidoreductases
10033	-0.9467702764558058	-0.7363322539430746	0	3	Hydrolases
10034	-0.9467702764558058	-0.7363322539430746	0	3	Hydrolases
10037	-1.2527428707431265	-0.648540184707443	0	1	Oxidoreductases
10038	-1.2527428707431265	-0.648540184707443	0	1	Oxidoreductases
10041	-1.2633015218824062	-0.8375590980687107	0	3	Hydrolases
10042	-1.2633015218824062	-0.8375590980687107	0	3	Hydrolases
10045	6.990631861082109	0.17043778418816452	1	1	Oxidoreductases
10046	6.990631861082109	0.17043778418816452	1	1	Oxidoreductases
10049	-1.2563083777224875	-0.8864110800959542	0	2	Transferases
10050	-1.2563083777224875	-0.8864110800959542	0	2	Transferases
10053	6.984536834092972	0.18873081457584162	1	1	Oxidoreductases
10054	6.984536834092972	0.18873081457584162	1	1	Oxidoreductases
10057	-0.9024880679156448	-0.48580717790879574	0	4	Lyases
