rhea_id	PC1	PC2	cluster	class	class_label
10001	-1.0335041829343055	-0.729594619520494	3	3	Hydrolases
10002	-1.0335041829343266	-0.7295946195204657	3	3	Hydrolases
10005	-1.0584910988681702	-0.5181135089117616	3	5	Isomerases
10006	-1.0584910988681702	-0.5181135089117619	3	5	Isomerases
10009	-1.3081523294343647	-0.8788750239609537	3	Unknown	
10010	-1.3081523294343647	-0.8788750239609537	3	Unknown	
10013	-1.0388800497779866	-0.493449126907012	3	1	Oxidoreductases
10014	-1.0388800497779866	-0.493449126907012	3	1	Oxidoreductases
10017	-1.3065899384879465	-0.4013455033314975	3	3	Hydrolases
10018	-1.3065899384879465	-0.4013455033314975	3	3	Hydrolases
10021	6.9176713144991036	0.24980833772862665	1	1	Oxidoreductases
10022	6.9176713144991036	0.24980833772862665	1	1	Oxidoreductases
10025	-1.0500912014254091	-0.8384696350976023	2	Unknown	
10026	-1.0500912014254091	-0.8384696350976023	2	Unknown	
10029	-1.0114629353328948	-0.6893995153584341	3	1	Oxidoreductases
10030	-1.0114629353328948	-0.6893995153584341	3	1	Oxidoreductases
10033	-0.9791573314523727	-0.7307297025274224	3	3	Hydrolases
10034	-0.9791573314523727	-0.7307297025274224	3	3	Hydrolases
10037	-1.286169970508962	-0.6462558468475355	3	1	Oxidoreductases
10038	-1.286169970508962	-0.6462558468475355	3	1	Oxidoreductases
10041	-1.29117099133268	-0.8248402902894251	3	3	Hydrolases
10042	-1.29117099133268	-0.8248402902894251	3	3	Hydrolases
10045	6.95718778583577	0.15124473659124632	1	1	Oxidoreductases
10046	6.95718778583577	0.15124473659124632	1	1	Oxidoreductases
10049	-1.2973664528956625	-0.893999747489625	3	2	Transferases
10050	-1.2973664528956625	-0.893999747489625	3	2	Transferases
10053	6.951606217007863	0.16879753712275078	1	1	Oxidoreductases
10054	6.951606217007863	0.16879753712275078	1	1	Oxidoreductases
10057	-0.9354373742457062	-0.47892792318323313	3	4	Lyases
10058	-0.9354373742457062	-0.47892792318323313	3	4	Lyases
10061	-1.15085320715756	-0.6706480060204362	5	2	Transferases
10062	-1.15085320715756	-0.6706480060204362	5	2	Transferases
10065	-0.9526088475595692	-0.7561609811508521	3	2	Transferases
